,B1,B2,B3,B4,B5,B6,B7,B8,B8A,B9,B11,B12
17,0.027249999999999996,0.03195461538461539,0.05707285714285715,0.13399714285714284,0.14853000000000002,0.15605666666666665,0.154415,0.1464478260869565,0.142974,0.144474,0.13923631578947368,0.1476008108108108
18,0.025897499999999997,0.02995615384615385,0.053067142857142854,0.13279714285714286,0.14751,0.15402666666666667,0.15141500000000002,0.14156130434782604,0.137492,0.137388,0.1275526315789474,0.13470756756756752
19,0.02858,0.03264692307692307,0.05507571428571428,0.13220428571428572,0.14648666666666665,0.15389666666666668,0.15051,0.14045000000000002,0.136074,0.135974,0.12623631578947372,0.13481756756756758
20,0.0292575,0.03253153846153846,0.054369999999999995,0.13048857142857143,0.14448000000000003,0.15087000000000003,0.14751,0.13709782608695656,0.13247599999999998,0.132596,0.12255263157894737,0.13101648648648653
21,0.026345,0.029798461538461534,0.050080000000000006,0.12298714285714285,0.13651000000000002,0.14188,0.13851000000000002,0.1281830434782609,0.12357599999999999,0.12360200000000002,0.11413263157894739,0.12276405405405404
22,0.0425025,0.0501,0.08338571428571429,0.17148999999999998,0.19502333333333333,0.21274,0.224505,0.2315030434782609,0.233974,0.25449400000000005,0.33568,0.3524013513513513
23,0.0395875,0.046908461538461545,0.08117857142857143,0.183,0.20699333333333333,0.22576666666666667,0.2362725,0.24016347826086956,0.24149400000000001,0.262104,0.33700052631578953,0.3484405405405405
24,0.040585,0.04837692307692308,0.08394285714285717,0.19720285714285715,0.22302999999999998,0.24091666666666667,0.2489225,0.24801434782608694,0.24706200000000003,0.264984,0.32888894736842106,0.33956297297297294
25,0.0422375,0.048800769230769245,0.08435857142857142,0.20320571428571427,0.22753,0.24406666666666665,0.249025,0.24448913043478263,0.24206599999999998,0.258398,0.31878421052631584,0.3255716216216217
26,0.0454875,0.05209461538461539,0.08982285714285713,0.22020714285714285,0.24453,0.26106333333333337,0.2637575,0.25676956521739136,0.253146,0.269086,0.3236521052631578,0.3289954054054054
27,0.0316275,0.03836384615384615,0.06832142857142857,0.14620142857142857,0.16303,0.17289666666666667,0.17501,0.1705017391304348,0.16806800000000002,0.170472,0.15802210526315788,0.17382513513513517
28,0.03159,0.03906615384615385,0.07078285714285715,0.15549714285714286,0.17301666666666668,0.18292999999999995,0.18380250000000004,0.1765991304347826,0.17358800000000002,0.17458,0.15600000000000003,0.17055486486486487
29,0.0325625,0.040332307692307695,0.07238714285714286,0.15670714285714285,0.17452,0.18402333333333332,0.185685,0.17825999999999997,0.17499199999999998,0.176386,0.157,0.17118972972972973
30,0.031155000000000002,0.03679615384615384,0.06854428571428571,0.17150285714285715,0.19201000000000001,0.20291333333333336,0.201405,0.18966173913043477,0.184472,0.18759800000000001,0.17844684210526313,0.18694567567567572
31,0.0306,0.03552307692307692,0.060451428571428566,0.14098714285714287,0.1589866666666667,0.17076333333333335,0.17367749999999998,0.1690786956521739,0.166972,0.17508799999999997,0.20410473684210528,0.21858648648648643
